latitude start,latitude end,longitude start,longitude end,time,source,hash
15.0625,20.0625,-59.9375,-54.9375,2020-06-07,asc,889d0eaf0649b0461027197fab4b6315
15.0625,20.0625,-59.9375,-54.9375,2020-06-09,asc,63db658771332f79af6c036a9d1ab6ce
15.0625,20.0625,-59.9375,-54.9375,2020-06-19,asc,d8e87cde0f4cf44984301922ad497118
15.0625,20.0625,-59.9375,-54.9375,2020-06-26,asc,29851a0de50e69f62191dae7cf920488
15.0625,20.0625,-59.9375,-54.9375,2020-07-06,asc,406e5518ce14bf40b4a635a0369a70e4
15.0625,20.0625,-59.9375,-54.9375,2020-07-18,asc,da2c2550e816f899cfe0f4cb8bff051d
15.0625,20.0625,-59.9375,-54.9375,2020-07-25,asc,81545e62bd0965162339559cc4e32d3a
15.0625,20.0625,-59.9375,-54.9375,2020-08-04,asc,bd31b43d5aadbc6e6ff22a6a481cf479
15.0625,20.0625,-59.9375,-54.9375,2020-08-16,asc,e02807e3145c8a9cf385ffc948d04126
15.0625,20.0625,-59.9375,-54.9375,2020-08-23,asc,0995939471ef6a19aa9a36694ad40443
15.0625,20.0625,-59.9375,-54.9375,2020-09-02,asc,17934e9a20a5a222cb0025168ef8afb0
15.0625,20.0625,-59.9375,-54.9375,2020-09-14,asc,95251ab89f0f80b97c6cfac796088556
15.0625,20.0625,-59.9375,-54.9375,2020-09-21,asc,1b6801f618175f5f3254afb13a5a0922
15.0625,20.0625,-59.9375,-54.9375,2020-10-01,asc,728ae8253e294496c2f286579dfcd13c
15.0625,20.0625,-59.9375,-54.9375,2020-10-13,asc,9c181abffa68861729bf9b1a1bc61f39
15.0625,20.0625,-59.9375,-54.9375,2020-10-20,asc,3b6e557b213313415135ee9d31689fff
15.0625,20.0625,-59.9375,-54.9375,2020-10-30,asc,241e84923784011a68e1272479926f15
15.0625,20.0625,-59.9375,-54.9375,2020-11-11,asc,28484597bae2660d57933d416af8adab
15.0625,20.0625,-59.9375,-54.9375,2020-11-18,asc,8adc219da1dcfce8bc5a8de8c051931f
15.0625,20.0625,-59.9375,-54.9375,2020-11-28,asc,00fc2d169989ce6a6d859c804991b321
15.0625,20.0625,-59.9375,-54.9375,2020-12-10,asc,67d41d93e9dfafb6fb507bfaf495d2a5
15.0625,20.0625,-59.9375,-54.9375,2020-12-17,asc,34bed4e197d55a956fdbd3dc4d55a94b
15.0625,20.0625,-59.9375,-54.9375,2020-12-27,asc,4bec6516d061e2ff184e9dd00b64733e
15.0625,20.0625,-54.9375,-49.9375,2020-01-05,asc,2f216284af0d97a131ca56c2ec18a907
15.0625,20.0625,-54.9375,-49.9375,2020-01-12,asc,88d7f8a7d5a86e79b6274c787e3bf968
15.0625,20.0625,-54.9375,-49.9375,2020-01-15,asc,62efa454fdcb4c6a2229692d660f36b2
15.0625,20.0625,-54.9375,-49.9375,2020-01-27,asc,c82a50e669abb09119b2936f27c48455
15.0625,20.0625,-54.9375,-49.9375,2020-02-03,asc,132a8ab20ec160bf050ebd3a1e4628a9
15.0625,20.0625,-54.9375,-49.9375,2020-02-10,asc,eb76cdbe60c82b0782f164882931b1a1
15.0625,20.0625,-54.9375,-49.9375,2020-02-13,asc,17a180638fb7721a915821e48a55700e
15.0625,20.0625,-54.9375,-49.9375,2020-02-25,asc,ba397e222ff0eb9edd8397970345dae6
15.0625,20.0625,-54.9375,-49.9375,2020-03-03,asc,8c1a90c65d559583aa73473d33a2657d
15.0625,20.0625,-54.9375,-49.9375,2020-03-10,asc,01f984bb4b47a868f90cb4844fbd59b3
15.0625,20.0625,-54.9375,-49.9375,2020-03-13,asc,f75f1b2639d9b1f1982c5db1a09a9dd2
15.0625,20.0625,-54.9375,-49.9375,2020-03-25,asc,cb4ade740a9aa9ca4adc45b71b860e68
15.0625,20.0625,-54.9375,-49.9375,2020-04-01,asc,08cf69404e800b8b7577c7511e8b7964
15.0625,20.0625,-54.9375,-49.9375,2020-04-08,asc,43f0b27f0d0ea2d0716a0193bf1563b9
15.0625,20.0625,-54.9375,-49.9375,2020-04-11,asc,5e567dfb94dea787b7cf383aa5adc080
15.0625,20.0625,-54.9375,-49.9375,2020-04-23,asc,019e987571741f32ceca65af4a59bb15
15.0625,20.0625,-54.9375,-49.9375,2020-04-30,asc,483bd493a39ef80c95c70f1f48fa1c11
15.0625,20.0625,-54.9375,-49.9375,2020-05-07,asc,73ebdd1476916bc2df785aa7c0d02444
15.0625,20.0625,-54.9375,-49.9375,2020-05-10,asc,7c08d1481d65b04b28863350f997a26e
15.0625,20.0625,-54.9375,-49.9375,2020-05-22,asc,cd470e2dd40290de9a2806bf77c2a31d
15.0625,20.0625,-54.9375,-49.9375,2020-05-29,asc,c44f3d188dad49ddcca8b4216e5abbc4
15.0625,20.0625,-54.9375,-49.9375,2020-06-05,asc,d8a3f0768676b133744719397baf61b2
15.0625,20.0625,-54.9375,-49.9375,2020-06-08,asc,7d77f92a66e4471324e332884869e34e
15.0625,20.0625,-54.9375,-49.9375,2020-06-20,asc,8080ab741d6cd024e803bc844b0c8dc7
15.0625,20.0625,-54.9375,-49.9375,2020-06-27,asc,9bd16aa5042e08b278dd0171a5257827
15.0625,20.0625,-54.9375,-49.9375,2020-07-04,asc,51acfd59055dad3f14187f2a1344ae69
15.0625,20.0625,-54.9375,-49.9375,2020-07-07,asc,451da265b820c9a79ce5ee3c4e2329ab
15.0625,20.0625,-54.9375,-49.9375,2020-07-19,asc,d6c287ee51bb3e0b5670705c3af40df2
15.0625,20.0625,-54.9375,-49.9375,2020-07-26,asc,57dd98c4e744df933f6a408a91bde340
15.0625,20.0625,-54.9375,-49.9375,2020-08-02,asc,9fff7434c00f0aa5c1bf0627aa6876ae
15.0625,20.0625,-54.9375,-49.9375,2020-08-05,asc,eaee38a1da8cc2696943235bf2f7d272
15.0625,20.0625,-54.9375,-49.9375,2020-08-17,asc,8fed5c26802e0e94bfa478484d54312d
15.0625,20.0625,-54.9375,-49.9375,2020-08-24,asc,85804d97e95e19cef69f9576c6376781
15.0625,20.0625,-54.9375,-49.9375,2020-08-31,asc,2a945fde8705cce0f8fdfe3b67e1fb3a
15.0625,20.0625,-54.9375,-49.9375,2020-09-03,asc,97f2e9bc7a11908cb7d8b257569acb44
15.0625,20.0625,-54.9375,-49.9375,2020-09-15,asc,bc8ebadcf8bcf2c87615b133c449ccbb
15.0625,20.0625,-54.9375,-49.9375,2020-09-22,asc,71871c34f1ce87e9e955dd7cdb7c6809
15.0625,20.0625,-54.9375,-49.9375,2020-09-29,asc,cf35e90ffbbf3c49ffd022a3c52172f1
15.0625,20.0625,-54.9375,-49.9375,2020-10-02,asc,c16c52003a8bf9880b61e3092f51d4f4
